"file" "Chromis_chromis" "Other" "Serranus_scriba" "Diplodus_sargus" "Symphodus_tinca" "Boops_boops" "Coris_julis" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Anthias_anthias" "Thalassoma_pavo" "Oblada_melanura" "Sarpa_salpa" "Diplodus_vulgaris" "Epinephelus_marginatus" "Mullus_surmuletus" "Sciaena_umbra" "Apogon_imberbis" "Sparus_aurata"
"GH010031" "5388" "   9" "0" "0" "   4" " 586" "  44" "0" "0" "  53" "0" "0" "0" "   2" "0" "0" "0" "0" "0" "0"
"GH010030" "10526" "   23" "0" "    1" "0" " 3103" "   27" "    2" "0" "  134" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010029" " 49" " 10" "  2" "287" "153" "  2" "405" "0" "0" "  1" "0" "0" " 78" " 10" "164" "0" "  1" "0" "  1" "0"
"GH010028" "246" " 74" " 15" "114" "959" " 11" "648" "0" "  4" "0" "0" " 51" " 67" " 40" " 95" "0" "  8" "0" "  6" "0"
"GH010027" " 28" " 17" "0" "408" "584" "0" "880" "0" "0" "0" "  3" " 17" "181" "493" " 12" "0" "  1" "0" "  6" "0"
"GH010026" "1749" "  34" "   2" "  30" " 586" "  22" " 570" "0" "0" "0" "0" "  22" " 652" "  79" " 286" "0" "   4" "0" "0" "   2"
"GH010025" "5369" "  52" "0" " 106" " 105" "   6" " 162" "0" "   5" "0" "0" "  17" " 387" " 223" " 757" "   1" "0" "0" "   1" "0"
"GH010024" "  8" "  7" "0" "373" "163" "0" "932" "0" "0" "0" "0" "105" " 64" " 49" "546" "0" "  4" "0" "0" "0"
"GH010023" "1041" "  29" "0" " 332" " 187" " 375" " 637" "0" "   1" "  10" "  26" "  13" " 860" " 366" " 297" "   1" "   9" "   1" "0" "0"
"GX012714" "5832" "  66" "  94" " 745" " 735" "   7" " 773" "   1" "   1" "   2" "  11" " 176" " 137" " 949" " 505" "0" "0" "   2" "   2" "0"
"GX012712" " 808" " 228" "  40" "4188" " 468" "   8" "1162" "  14" "  10" "0" "   6" " 108" " 261" "2198" "2713" "   2" "0" "   3" "  14" "   5"
"GX012710" "107" " 17" " 15" "535" "224" "0" "743" "0" "0" "0" "0" " 26" " 29" "506" "316" "  1" "  2" "0" "  2" "0"
"GX012709" "826" "153" " 15" "746" "687" "0" "870" "0" "0" "  1" "  3" " 41" " 23" " 46" "349" "0" "  9" "0" "150" "0"
"GX012707" "995" " 28" "155" "561" "519" "0" "621" "0" "  1" "0" "  2" "  5" " 39" " 12" "211" "0" "  8" "  2" "  4" "0"
"GX012705" " 86" " 23" " 15" "759" "357" "0" "183" "0" "  1" "0" "0" " 62" " 36" " 15" "107" "0" "  2" "0" "  1" "0"
"GX010787" "7679" "0" "0" "0" "   2" "  12" "0" "   1" "0" "  63" "  32" "   1" "   1" "0" "0" "0" "0" "0" "0" "0"
"GX010786" "4120" "0" "0" "0" "0" " 618" "0" "0" "0" "   7" "0" "0" "   1" "0" "0" "0" "0" "0" "0" "0"
"GX010784" "3144" "   8" "0" "0" "0" "  95" "   3" "   1" "0" " 876" "  13" "   1" "   3" "0" "0" "0" "0" "0" "0" "0"
"GX010778" "8199" "  12" "0" "   8" "  11" " 250" "  18" "  32" "0" "  26" "   2" "0" "   9" "0" "0" "0" "   2" "  11" "0" "0"
"GX010777" "1883" "   1" "0" "0" "0" "  13" "   2" "   8" "0" "  17" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010756" "  1" "  7" "0" "108" "112" "0" "168" "0" "0" "0" "0" "  2" "  8" " 95" "  5" "0" "0" "0" "0" "0"
"GX010755" "147" " 39" "  4" "168" "182" "  8" "303" "0" "0" "  1" "119" " 11" "139" "808" " 47" "0" "  1" "0" "  3" "0"
"GX010754" "285" "  6" "0" "167" "191" " 12" "333" "0" "  6" "0" " 27" " 16" " 98" "  2" "  4" "0" "0" "0" "0" "0"
"GH010022" "  4" "0" "  8" "102" " 69" "0" "162" "0" "0" "0" "0" "  3" "128" " 17" "113" "0" "0" "0" "0" "0"
