"file" "Boops_boops" "Coris_julis" "Mullus_surmuletus" "Apogon_imberbis" "Chromis_chromis" "Diplodus_sargus" "Oblada_melanura" "Other" "Sarpa_salpa" "Serranus_scriba" "Symphodus_tinca" "Seriola" "Serranus_cabrilla" "Sparus_aurata" "Spicara_smaris" "Anthias_anthias" "Diplodus_vulgaris" "Thalassoma_pavo" "Epinephelus_marginatus" "Sciaena_umbra"
"GH010398" "3509" "  32" "0" "0" "8682" "   3" "  28" "  46" "   3" "0" "   2" "  20" "0" "0" "5362" "0" "   1" "   1" "0" "0"
"GH010396" "  334" "  123" "0" "0" "13117" "    3" "   33" "   10" "    9" "0" "    2" "    2" "0" "0" "   84" "    1" "    2" "    1" "0" "0"
"GH010032" "  188" "   15" "0" "    1" "12296" "0" "   14" "   13" "0" "0" "    3" "0" "0" "0" "  142" "0" "0" "0" "0" "0"
"GH010031" "1270" " 104" "0" "0" "9149" "0" "   5" " 168" "   5" "0" "   7" "0" "0" "0" " 328" "0" "   1" "0" "0" "0"
"GH010030" " 5230" "   49" "0" "0" "16716" "    6" "    8" "  102" "    2" "0" "    6" "    8" "0" "0" "  642" "    1" "0" "0" "0" "    1"
"GH010029" "  4" "751" "  4" "  1" "103" "428" "154" " 54" " 49" " 18" "355" "0" "  1" "0" "  3" "  2" "265" "0" "0" "  1"
"GH010028" "  32" "1329" "  16" "  13" " 467" " 255" " 177" " 192" " 111" "  34" "1504" "0" "  13" "0" "  17" "0" " 202" " 112" "   4" "   1"
"GH010027" "   3" "1561" "   7" " 103" "  82" " 704" " 467" "  98" "1086" "0" "1224" "0" "   1" "   1" "   1" "  12" "  33" "  47" "0" "0"
"GH010026" "  73" "1174" "   9" "0" "2856" " 142" "1257" " 157" " 340" "   9" "1023" "0" "   7" "  30" "   2" "0" " 372" "  35" "0" "   2"
"GH010025" "  26" " 489" "0" "   4" "8865" " 347" "2034" " 265" " 627" "   7" " 390" "0" "   8" "   1" "   2" "   4" "1275" "  42" "   1" "0"
"GH010024" "   8" "1534" "   8" "0" "  58" " 790" " 265" "  39" " 209" "   1" " 409" "0" "   1" "0" "   2" "0" " 849" " 157" "0" "0"
"GH010023" "1022" "1157" "  23" "   6" "2718" " 812" "2050" " 226" " 899" "   1" " 424" "   2" "   5" "   2" "  65" "  68" " 458" "  30" "  12" "   3"
"GX012714" "   59" " 1426" "    6" "    9" "10388" " 1260" "  483" "  275" " 1551" "  113" " 1413" "    5" "   13" "    1" "   24" "   64" "  759" "  292" "    1" "   11"
"GX012712" "  38" "1976" "  12" "  35" "1617" "6106" " 889" " 398" "3262" "  57" " 971" "  29" "  19" "  38" "0" "  33" "4199" " 194" "  10" "  18"
"GX012710" "   3" "1260" "   6" "   6" " 323" " 863" " 166" "  49" " 662" "  19" " 481" "0" "0" "0" "   8" "   2" " 455" "  56" "   3" "0"
"GX012709" "   1" "1454" "  15" " 218" "1259" "1090" " 119" " 254" " 152" "  29" "1113" "0" "   2" "   3" "   5" "  16" " 486" "  97" "   2" "   1"
"GX012707" "   3" "1283" "  26" "  18" "1368" " 793" " 122" "  90" "  50" " 194" " 994" "   1" "   4" "0" "   6" "  15" " 281" "  44" "   3" "   6"
"GX012705" "   1" " 490" "   5" "   5" " 197" "1004" " 148" " 110" "  56" "  22" " 614" "0" "  10" "0" "   2" "   1" " 184" "  97" "0" "   1"
"GX010787" "  178" "    1" "    1" "0" "13906" "0" "    2" "    4" "    1" "0" "    9" "    9" "0" "    8" "  281" "   58" "    1" "    1" "0" "0"
"GX010786" " 941" "   4" "0" "0" "7703" "   1" "   7" "   5" "0" "   1" "   1" "0" "0" "0" "  95" "   1" "0" "0" "   2" "0"
"GX010784" " 532" "  18" "0" "0" "4790" "   6" "  26" "  51" "   1" "   2" "0" "  38" "0" "0" "1819" "  22" "   1" "   4" "0" "0"
"GX010778" "  705" "   35" "    3" "0" "12185" "   27" "   33" "   58" "0" "0" "   18" "  118" "0" "    1" "  233" "   13" "    3" "    1" "    1" "   22"
"GX010777" "  52" "  12" "0" "0" "3536" "   1" "  16" "   6" "0" "   2" "   3" "  33" "0" "   1" "  81" "0" "   1" "0" "   1" "0"
"GX010756" "  2" "347" "  1" "0" "  5" "220" " 57" " 38" "228" "0" "190" "0" "0" "0" "  1" "0" " 19" "  8" "0" "0"
"GX010755" "  18" " 493" "   2" "  17" " 261" " 333" " 282" "  85" "1055" "   6" " 295" "   3" "0" "0" "   9" " 199" "  68" "  32" "   1" "0"
"GX010754" " 37" "615" "0" "0" "489" "308" "170" " 44" " 28" "  1" "377" "  1" " 13" "0" "  3" " 50" " 26" " 52" "  2" "  3"
"GH010022" "0" "383" "  1" "  1" " 33" "143" "234" " 12" " 43" " 21" "165" "0" "  6" "0" "  1" "0" "127" " 10" "  1" "0"
