"file" "Chromis_chromis" "Serranus_scriba" "Other" "Symphodus_tinca" "Boops_boops" "Coris_julis" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Thalassoma_pavo" "Anthias_anthias" "Diplodus_sargus" "Oblada_melanura" "Sarpa_salpa" "Epinephelus_marginatus" "Sciaena_umbra" "Diplodus_vulgaris" "Apogon_imberbis" "Mullus_surmuletus" "Sparus_aurata"
"GH010031" "4980" "0" "   6" "   4" " 519" "  40" "0" "0" "  39" "0" "0" "0" "0" "   2" "0" "0" "0" "0" "0" "0"
"GH010030" "9828" "0" "  17" "0" "2853" "  24" "   2" "0" " 105" "0" "0" "   1" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010029" " 46" "  2" "  8" "132" "  2" "361" "0" "0" "  1" "0" "0" "263" " 69" "  5" "0" "0" "158" "0" "  1" "0"
"GH010028" "233" " 14" " 71" "878" "  7" "562" "0" "  3" "0" " 48" "0" "100" " 55" " 32" "0" "0" " 81" "  5" "  7" "0"
"GH010027" " 20" "0" "  9" "512" "0" "806" "0" "0" "0" " 16" "  3" "382" "148" "432" "0" "0" "  9" "  2" "  1" "0"
"GH010026" "1650" "   2" "  22" " 535" "  18" " 522" "0" "0" "0" "  22" "0" "  25" " 567" "  59" "0" "0" " 268" "0" "   3" "   2"
"GH010025" "5042" "0" "  38" "  87" "   2" " 131" "0" "   5" "0" "  14" "0" "  88" " 294" " 189" "0" "0" " 677" "0" "0" "0"
"GH010024" "  6" "0" "  6" "127" "0" "871" "0" "0" "0" " 95" "0" "322" " 47" " 38" "0" "0" "487" "0" "  3" "0"
"GH010023" "916" "0" " 23" "166" "316" "589" "0" "  1" "  6" " 11" " 22" "291" "764" "327" "  1" "  1" "269" "0" "  9" "0"
"GX012714" "5399" "  93" "  42" " 663" "   6" " 718" "   1" "   1" "   2" " 168" "   9" " 672" " 106" " 864" "0" "   2" " 474" "   2" "0" "0"
"GX012712" " 734" "  38" " 205" " 408" "   5" "1078" "  12" "   9" "0" " 102" "   5" "3947" " 210" "2042" "   2" "   3" "2497" "  11" "0" "   2"
"GX012710" " 94" " 15" " 13" "196" "0" "693" "0" "0" "0" " 23" "0" "502" " 25" "483" "  1" "0" "299" "  1" "  2" "0"
"GX012709" "785" " 15" "150" "629" "0" "796" "0" "0" "  1" " 35" "  2" "705" " 16" " 36" "0" "0" "337" "139" "  9" "0"
"GX012707" "941" "151" " 18" "469" "0" "548" "0" "  1" "0" "  3" "  2" "532" " 29" " 11" "0" "0" "197" "  3" "  6" "0"
"GX012705" " 70" " 14" " 20" "325" "0" "164" "0" "  1" "0" " 56" "0" "711" " 32" " 13" "0" "0" " 96" "  1" "  2" "0"
"GX010787" "7041" "0" "0" "   2" "   8" "0" "   1" "0" "  48" "0" "  25" "0" "   1" "0" "0" "0" "0" "0" "0" "0"
"GX010786" "3769" "0" "0" "0" " 565" "0" "0" "0" "   7" "0" "0" "0" "   1" "0" "0" "0" "0" "0" "0" "0"
"GX010784" "2988" "0" "   6" "0" "  59" "   2" "   1" "0" " 754" "   1" "  12" "0" "   2" "0" "0" "0" "0" "0" "0" "0"
"GX010778" "7775" "0" "   9" "   9" " 205" "  18" "  31" "0" "  20" "0" "   2" "   6" "   6" "0" "0" "   8" "0" "0" "   1" "0"
"GX010777" "1727" "0" "   1" "0" "   9" "   2" "   5" "0" "  13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010756" "  1" "0" "  5" " 97" "0" "149" "0" "0" "0" "  2" "0" " 97" "  6" " 83" "0" "0" "  3" "0" "0" "0"
"GX010755" "129" "  4" " 36" "172" "  7" "275" "0" "0" "  1" "  8" "104" "149" "127" "777" "0" "0" " 43" "  3" "  1" "0"
"GX010754" "267" "0" "  4" "173" " 11" "303" "0" "  4" "0" " 14" " 25" "153" " 94" "0" "0" "0" "  2" "0" "0" "0"
"GH010022" "  2" "  8" "0" " 62" "0" "149" "0" "0" "0" "  3" "0" " 92" "114" " 13" "0" "0" "110" "0" "0" "0"
