"file" "transNameCounts" "Chromis_chromis" "Coris_julis" "Spicara_smaris" "Boops_boops" "Seriola" "Diplodus_sargus" "Sarpa_salpa" "Anthias_anthias" "Diplodus_vulgaris" "Epinephelus_marginatus" "Other" "Oblada_melanura" "Symphodus_tinca" "Serranus_scriba" "Serranus_cabrilla" "Thalassoma_pavo" "Sciaena_umbra" "Mullus_surmuletus" "Apogon_imberbis" "Sparus_aurata"
"GH010398" "0" "2082" "0" "  37" "  29" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GH010396" "0" "3785" "   7" "0" "  29" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GH010032" "2920" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GH010031" "0" "1817" "   3" "0" "  75" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GH010030" "0" "3877" "   1" "   1" " 566" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GH010028" "0" "52" "80" "0" "0" "0" "18" "0" "0" "0" "0" " 3" " 1" "72" "0" "0" "11" "0" " 1" "0" 0
"GH010025" "0" "1491" "  19" "0" "0" "0" "0" "   1" "0" "  49" "0" "0" "0" "   3" "0" "0" "   2" "0" "0" "0" 0
"GH010024" "0" "0" "234" "0" "0" "0" "  3" "0" "0" " 13" "0" "  2" "0" "  4" "0" "0" "  9" "0" "  1" "0" 0
"GH010023" "0" "144" "133" "0" " 26" "0" " 13" " 48" "0" " 15" "0" "0" " 53" " 22" "0" "  1" "  1" "0" "  3" "0" 0
"GX012714" "0" "1445" " 126" "0" "0" "0" "  89" " 133" "0" "  37" "0" "0" "0" "  70" "  54" "0" "  20" "0" "0" "0" 0
"GX012712" "0" "107" "176" "0" "0" "  2" "790" "282" "0" "233" "0" " 15" "0" " 19" "  3" "0" " 13" "0" "0" "0" 0
"GX012710" "0" " 1" "52" "0" "0" "0" "77" "14" "0" "38" "0" "0" " 1" " 4" " 4" "0" " 3" "0" " 1" "0" 0
"GX012709" "0" "182" "133" "0" "0" "0" " 98" "  4" "0" " 97" "0" " 80" "0" "111" "  6" "0" "  4" "0" "  2" " 11" 0
"GX012707" "0" "263" " 85" "0" "0" "0" "130" "0" "0" " 40" "0" "0" "  2" " 35" " 60" "0" "0" "0" "0" "0" 0
"GX012705" "0" "  8" " 18" "0" "0" "0" "100" "0" "0" "  4" "0" "  2" "0" " 34" "  1" "0" "  5" "0" "0" "0" 0
"GX010787" "0" "1662" "0" "0" "0" "0" "0" "0" "   2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GX010786" "0" "891" "0" "0" "154" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GX010778" "0" "3098" "  10" "0" "   6" "  12" "0" "0" "0" "0" "0" "   2" "0" "   1" "0" "0" "0" "0" "0" "0" 0
"GX010777" "398" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 0
"GH010022" "0" "0" "23" "0" "0" "0" "10" "0" "0" "23" "0" "0" " 9" "0" "0" "0" "0" "0" "0" "0" 0
"GX010755" "0" " 13" " 79" "0" "0" "0" "  3" "291" "  7" "0" "0" "  1" " 16" " 44" "  3" "0" "0" "0" "0" "0" 0
