"file" "Boops_boops" "Coris_julis" "Mullus_surmuletus" "Apogon_imberbis" "Chromis_chromis" "Diplodus_sargus" "Oblada_melanura" "Other" "Sarpa_salpa" "Serranus_scriba" "Symphodus_tinca" "Thalassoma_pavo" "Seriola" "Serranus_cabrilla" "Sparus_aurata" "Spicara_smaris" "Anthias_anthias" "Diplodus_vulgaris" "Epinephelus_marginatus" "Sciaena_umbra"
"GH010403" "  634" "   16" "    2" "    1" "11295" "    8" "   21" "    3" "    1" "0" "0" "0" "0" "0" "0" "  542" "    1" "    3" "0" "0"
"GH010398" "3905" "  48" "0" "0" "9293" "   5" "  39" "  60" "   6" "0" "   3" "   1" "  23" "0" "0" "6153" "0" "   1" "0" "0"
"GH010396" "  372" "  140" "0" "0" "13929" "    3" "   47" "   11" "    9" "0" "    3" "    1" "    3" "0" "0" "  102" "    1" "    2" "0" "0"
"GH010032" "  224" "   18" "0" "    1" "13193" "    1" "   18" "   25" "0" "    3" "    4" "0" "0" "0" "0" "  194" "0" "0" "0" "0"
"GH010031" "1422" " 116" "0" "0" "9990" "0" "   9" " 235" "   5" "   1" "   7" "0" "   1" "0" "0" " 469" "0" "   1" "0" "0"
"GH010030" " 5640" "   57" "0" "0" "18103" "   10" "   10" "  121" "    2" "0" "    6" "0" "    8" "0" "0" "  820" "    2" "0" "0" "    1"
"GH010029" "  5" "846" "  7" "  2" "133" "465" "165" " 82" " 60" " 25" "397" "  2" "0" "  1" "0" "  6" "  2" "284" "0" "  1"
"GH010028" "  38" "1530" "  19" "  14" " 522" " 283" " 224" " 224" " 123" "  43" "1631" " 124" "0" "  15" "0" "  31" "0" " 220" "   4" "   1"
"GH010027" "   6" "1727" "   7" " 151" "  96" " 751" " 537" " 123" "1229" "   1" "1388" "  60" "0" "   1" "   1" "   4" "  18" "  44" "0" "0"
"GH010026" "  80" "1377" "   9" "0" "3098" " 172" "1380" " 189" " 386" "  10" "1128" "  40" "0" "   9" "  36" "   6" "0" " 387" "0" "   2"
"GH010025" "  32" " 612" "0" "  10" "9681" " 414" "2553" " 362" " 720" "   9" " 479" "  52" "   1" "   9" "   1" "   3" "   5" "1386" "   1" "0"
"GH010024" "  10" "1680" "  11" "0" "  72" " 863" " 302" "  48" " 252" "   3" " 468" " 170" "0" "   1" "0" "   4" "0" " 898" "0" "0"
"GH010023" "1160" "1299" "  24" "   8" "3144" " 893" "2259" " 302" " 994" "   2" " 488" "  38" "   4" "   5" "   2" "  87" "  77" " 487" "  19" "   3"
"GX012714" "   78" " 1615" "    9" "   11" "11422" " 1357" "  552" "  314" " 1647" "  119" " 1556" "  312" "    8" "   17" "    2" "   31" "   73" "  791" "    1" "   12"
"GX012712" "  50" "2149" "  14" "  37" "1816" "6445" "1022" " 448" "3399" "  61" "1097" " 213" "  33" "  21" "  49" "   3" "  34" "4424" "  10" "  18"
"GX012710" "   4" "1382" "   8" "   7" " 389" " 946" " 200" "  69" " 684" "  20" " 540" "  67" "0" "   1" "   1" "  13" "   3" " 483" "   6" "0"
"GX012709" "   2" "1583" "  17" " 224" "1346" "1162" " 142" " 277" " 170" "  33" "1202" " 113" "0" "   5" "   3" "   9" "  16" " 513" "   2" "   1"
"GX012707" "   9" "1486" "  30" "  20" "1458" " 848" " 138" " 113" "  59" " 204" "1096" "  57" "   1" "   8" "0" "   6" "  18" " 290" "   3" "   7"
"GX012705" "   2" " 575" "   6" "   9" " 213" "1053" " 169" " 144" "  78" "  24" " 694" " 109" "0" "  11" "0" "   2" "   3" " 203" "0" "   3"
"GX010787" "  238" "    1" "    1" "0" "15401" "0" "    4" "    8" "    1" "0" "    9" "    2" "   18" "0" "   10" "  352" "   61" "    1" "0" "0"
"GX010786" " 998" "   5" "0" "0" "8541" "   1" "  10" "   8" "0" "   1" "   2" "0" "   1" "0" "0" " 174" "   1" "   1" "   2" "   1"
"GX010784" " 634" "  24" "0" "0" "5184" "   7" "  35" "  64" "   1" "   2" "0" "   7" "  46" "0" "   1" "1993" "  23" "   2" "0" "0"
"GX010778" "  789" "   37" "    3" "0" "13124" "   33" "   43" "   66" "0" "    1" "   21" "    1" "  145" "    2" "    1" "  298" "   16" "    3" "    2" "   22"
"GX010777" "  60" "  13" "0" "0" "3921" "   2" "  17" "   9" "0" "   3" "   3" "   1" "  39" "0" "   2" " 102" "0" "   1" "   1" "0"
"GX010756" "  2" "383" "  1" "0" "  6" "263" " 69" " 48" "261" "0" "209" " 11" "0" "0" "0" "  1" "0" " 30" "0" "0"
"GX010755" "  19" " 551" "   3" "  21" " 284" " 365" " 303" " 100" "1102" "   7" " 314" "  44" "   4" "   1" "0" "  16" " 212" "  74" "   1" "0"
"GX010754" " 42" "696" "0" "0" "539" "339" "192" " 52" " 31" "  3" "424" " 56" "  2" " 14" "0" "  5" " 57" " 32" "  2" "  4"
"GH010022" "0" "447" "  1" "  2" " 43" "154" "264" " 21" " 53" " 27" "180" " 16" "0" "  8" "0" "  3" "0" "128" "  2" "  1"
