"file" "transNameCounts" "Boops_boops" "Chromis_chromis" "Diplodus_sargus" "Other" "Serranus_scriba" "Symphodus_tinca" "Coris_julis" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Anthias_anthias" "Sarpa_salpa" "Thalassoma_pavo" "Oblada_melanura" "Diplodus_vulgaris" "Mullus_surmuletus" "Epinephelus_marginatus" "Sciaena_umbra" "Apogon_imberbis" "Sparus_aurata"
"GH010403" "0" " 447" "8583" "0" "0" "0" "0" "   3" "0" "0" " 256" "0" "0" "0" "   1" "   1" "   1" "0" "0" "0" "0"
"GH010398" "0" "2180" "6831" "   2" "  15" "0" "0" "  17" "  11" "0" "3217" "0" "   1" "   1" "   3" "0" "0" "0" "0" "0" "0"
"GH010396" "0" "  225" "10743" "    1" "    2" "0" "    2" "   76" "    1" "0" "   29" "0" "    4" "0" "   13" "    1" "0" "0" "0" "0" "0"
"GH010032" "0" "  95" "9651" "0" "   6" "0" "   2" "   6" "0" "0" "  51" "0" "0" "0" "   3" "0" "0" "0" "0" "0" "0"
"GH010031" "0" " 836" "6870" "0" "  42" "0" "   4" "  60" "0" "0" " 100" "0" "   4" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010030" "0" " 3965" "12901" "    2" "   58" "0" "    2" "   33" "    5" "0" "  307" "0" "0" "0" "    1" "0" "0" "0" "    1" "0" "0"
"GH010029" "0" "  3" " 66" "342" " 23" "  5" "221" "533" "0" "0" "  1" "0" " 22" "0" "105" "211" "  1" "0" "  1" "  1" "0"
"GH010028" "0" "  19" " 315" " 172" " 125" "  16" "1172" " 878" "0" "   6" "   4" "0" "  62" "  74" " 106" " 143" "  12" "   1" "0" "   9" "0"
"GH010027" "0" "   2" "  40" " 543" "  32" "0" " 809" "1129" "0" "   1" "0" "   4" " 703" "  28" " 292" "  16" "   4" "0" "0" "  24" "0"
"GH010026" "0" "  46" "2145" "  56" "  65" "   5" " 756" " 779" "0" "   4" "0" "0" " 153" "  25" " 928" " 331" "   6" "0" "0" "0" "  11"
"GH010025" "0" "  12" "6643" " 190" " 110" "   1" " 189" " 261" "0" "   5" "0" "0" " 368" "  28" " 829" " 993" "0" "   1" "0" "   2" "   1"
"GH010024" "0" "   2" "  26" " 571" "  11" "0" " 256" "1158" "0" "0" "   1" "0" "  87" " 129" " 131" " 711" "   5" "0" "0" "0" "0"
"GH010023" "0" " 604" "1561" " 523" "  82" "0" " 258" " 830" "0" "   1" "  22" "  40" " 563" "  21" "1271" " 368" "  15" "   7" "   2" "   1" "0"
"GX012714" "0" "  24" "7521" " 963" " 134" " 103" " 986" " 978" "   2" "   2" "   7" "  33" "1209" " 211" " 263" " 637" "   1" "0" "   3" "   3" "0"
"GX012712" "0" "  17" "1095" "4956" " 294" "  45" " 671" "1458" "  19" "  12" "0" "  15" "2725" " 137" " 476" "3428" "   1" "   3" "  12" "  25" "  12"
"GX012710" "0" "0" "186" "664" " 25" " 15" "320" "913" "0" "0" "  1" "0" "570" " 40" " 80" "366" "  2" "  1" "0" "  3" "0"
"GX012709" "0" "0" "1015" " 899" " 187" "  21" " 873" "1112" "0" "0" "   1" "   7" "  85" "  57" "  48" " 403" "  12" "   1" "   1" " 181" "   1"
"GX012707" "0" "0" "1165" " 666" "  45" " 170" " 710" " 852" "   1" "   2" "   5" "   6" "  30" "  15" "  68" " 240" "  12" "0" "   3" "   9" "0"
"GX012705" "0" "0" "127" "878" " 48" " 17" "450" "294" "0" "  4" "  2" "  1" " 26" " 74" " 71" "128" "  2" "0" "  1" "  3" "0"
"GX010787" "0" "   58" "10091" "0" "    1" "0" "    2" "0" "    2" "0" "  136" "   43" "0" "    1" "    1" "0" "0" "0" "0" "0" "    1"
"GX010786" "0" " 759" "5474" "0" "   1" "0" "   1" "0" "0" "0" "  19" "0" "0" "0" "   2" "0" "0" "   1" "0" "0" "0"
"GX010784" "0" " 252" "3750" "   1" "  15" "0" "0" "   6" "   5" "0" "1310" "  16" "0" "   1" "   6" "0" "0" "0" "0" "0" "0"
"GX010778" "0" " 410" "9726" "  16" "  25" "0" "  15" "  22" "  58" "0" "  93" "   8" "0" "0" "  18" "   2" "   2" "   1" "  14" "0" "0"
"GX010777" "0" "  26" "2465" "   1" "   2" "0" "   1" "   6" "  17" "0" "  38" "0" "0" "0" "   3" "0" "0" "0" "0" "0" "0"
"GX010756" "0" "  1" "  1" "150" " 18" "0" "147" "238" "0" "0" "0" "0" "138" "  4" " 26" " 12" "0" "0" "0" "0" "0"
"GX010755" "0" " 11" "193" "228" " 53" "  4" "229" "374" "  1" "0" "  3" "152" "916" " 17" "189" " 57" "  1" "  1" "0" "  8" "0"
"GX010754" "0" " 19" "361" "213" " 17" "0" "268" "442" "  1" "  9" "  1" " 36" "  9" " 29" "124" " 13" "0" "0" "  1" "0" "0"
"GH010022" "0" "0" "  9" "121" "  2" " 15" "102" "234" "0" "  1" "0" "0" " 30" "  3" "176" "117" "0" "  1" "0" "  1" "0"
