"file" "Chromis_chromis" "Other" "Boops_boops" "Coris_julis" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Serranus_scriba" "Anthias_anthias" "Diplodus_sargus" "Oblada_melanura" "Sarpa_salpa" "Symphodus_tinca" "Epinephelus_marginatus" "Sciaena_umbra" "Thalassoma_pavo" "Diplodus_vulgaris" "Mullus_surmuletus" "Apogon_imberbis" "Sparus_aurata"
"GH010030" "9081" "  10" "2577" "  20" "   2" "0" "  70" "0" "0" "   1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010029" " 42" "  7" "  2" "310" "0" "0" "  1" "  1" "0" "236" " 62" "  2" "117" "0" "0" "0" "147" "  1" "0" "0"
"GH010028" "212" " 58" "  4" "498" "0" "  3" "0" " 12" "0" " 88" " 47" " 26" "776" "0" "0" " 43" " 54" "  4" "  5" "0"
"GH010027" " 16" "  6" "0" "713" "0" "0" "0" "0" "  2" "353" "120" "377" "440" "0" "0" " 15" "  8" "0" "  1" "0"
"GH010026" "1534" "  15" "  15" " 468" "0" "0" "0" "   1" "0" "  20" " 472" "  43" " 478" "0" "0" "  20" " 247" "   3" "0" "   2"
"GH010025" "4664" "  31" "   1" " 104" "0" "   3" "0" "0" "0" "  67" " 212" " 155" "  68" "0" "0" "  13" " 587" "0" "0" "0"
"GH010024" "  5" "  6" "0" "800" "0" "0" "0" "0" "0" "261" " 39" " 27" "112" "0" "0" " 87" "433" "  3" "0" "0"
"GH010023" "788" " 18" "271" "541" "0" "  1" "  5" "0" " 17" "235" "665" "279" "147" "  1" "  1" " 10" "244" "  8" "0" "0"
"GX012714" "4907" "  32" "   2" " 652" "   1" "   1" "0" "  92" "   5" " 596" "  70" " 763" " 577" "0" "   2" " 147" " 406" "0" "   1" "0"
"GX012712" " 675" " 174" "   4" " 979" "  12" "   8" "0" "  36" "   2" "3681" " 147" "1850" " 353" "   2" "   2" "  86" "2268" "0" "   7" "   2"
"GX012710" " 78" " 11" "0" "635" "0" "0" "0" " 14" "0" "443" " 19" "451" "162" "  1" "0" " 22" "284" "  2" "  1" "0"
"GX012709" "712" "139" "0" "698" "0" "0" "  1" " 15" "  2" "651" " 10" " 26" "562" "0" "0" " 31" "306" "  8" "127" "0"
"GX012707" "894" " 15" "0" "480" "0" "0" "0" "142" "  2" "495" " 25" " 10" "396" "0" "0" "  2" "189" "  5" "  2" "0"
"GX012705" " 58" " 19" "0" "143" "0" "  1" "0" " 12" "0" "674" " 24" " 12" "292" "0" "0" " 50" " 85" "  2" "  1" "0"
"GX010787" "6349" "0" "   5" "0" "   1" "0" "  38" "0" "  22" "0" "0" "0" "   2" "0" "0" "0" "0" "0" "0" "0"
"GX010786" "3389" "0" " 523" "0" "0" "0" "   6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010778" "7299" "   6" " 168" "  17" "  28" "0" "  10" "0" "   2" "   5" "   6" "0" "   6" "0" "   7" "0" "0" "   1" "0" "0"
"GX010777" "1554" "   1" "   4" "   2" "   5" "0" "   8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010756" "  1" "  3" "0" "138" "0" "0" "0" "0" "0" " 82" "  2" " 68" " 79" "0" "0" "  1" "  2" "0" "0" "0"
"GX010755" "117" " 28" "  5" "247" "0" "0" "0" "  4" " 87" "135" "111" "736" "158" "0" "0" "  6" " 39" "  1" "  3" "0"
"GX010754" "244" "  4" "  6" "273" "0" "  2" "0" "0" " 24" "143" " 84" "0" "149" "0" "0" " 13" "  1" "0" "0" "0"
"GH010022" "  1" "0" "0" "132" "0" "0" "0" "  8" "0" " 84" "101" "  8" " 49" "0" "0" "  3" "107" "0" "0" "0"
