"file" "transNameCounts" "Boops_boops" "Chromis_chromis" "Diplodus_sargus" "Other" "Serranus_scriba" "Symphodus_tinca" "Coris_julis" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Anthias_anthias" "Thalassoma_pavo" "Oblada_melanura" "Sarpa_salpa" "Diplodus_vulgaris" "Mullus_surmuletus" "Epinephelus_marginatus" "Sciaena_umbra" "Apogon_imberbis" "Sparus_aurata"
"GH010398" "0" "1738" "6277" "0" "  10" "0" "0" "  16" "   5" "0" "2582" "0" "0" "0" "   1" "0" "0" "0" "0" "0" "0"
"GH010396" "0" " 179" "9985" "0" "   2" "0" "0" "  57" "   1" "0" "  18" "0" "0" "   3" "   3" "   1" "0" "0" "0" "0" "0"
"GH010032" "0" "  71" "8861" "0" "   4" "0" "   1" "   2" "0" "0" "  39" "0" "0" "   2" "0" "0" "0" "0" "0" "0" "0"
"GH010031" "0" " 711" "6133" "0" "  25" "0" "   4" "  57" "0" "0" "  69" "0" "0" "0" "   2" "0" "0" "0" "0" "0" "0"
"GH010030" "0" " 3535" "11790" "    2" "   46" "0" "    1" "   29" "    3" "0" "  215" "0" "0" "0" "0" "0" "0" "0" "    1" "0" "0"
"GH010029" "0" "  2" " 56" "309" " 15" "  3" "182" "468" "0" "0" "  1" "0" "0" " 91" " 14" "188" "  1" "0" "  1" "  1" "0"
"GH010028" "0" "  15" " 279" " 141" "  97" "  15" "1062" " 770" "0" "   4" "   1" "0" "  59" "  85" "  51" " 113" "   9" "   1" "0" "   8" "0"
"GH010027" "0" "0" "  31" " 477" "  25" "0" " 686" "1007" "0" "   1" "0" "   4" "  21" " 237" " 592" "  16" "   2" "0" "0" "  13" "0"
"GH010026" "0" "  33" "1941" "  44" "  45" "   3" " 687" " 668" "0" "   1" "0" "0" "  24" " 794" " 115" " 310" "   4" "0" "0" "0" "   7"
"GH010025" "0" "   6" "6021" " 147" "  80" "0" " 143" " 211" "0" "   5" "0" "0" "  21" " 586" " 282" " 898" "0" "   1" "0" "   1" "0"
"GH010024" "0" "   1" "  18" " 489" "   9" "0" " 210" "1041" "0" "0" "   1" "0" " 120" "  97" "  66" " 625" "   4" "0" "0" "0" "0"
"GH010023" "0" " 491" "1276" " 433" "  46" "0" " 216" " 736" "0" "   1" "  18" "  31" "  15" "1057" " 453" " 325" "  11" "   5" "   2" "0" "0"
"GX012714" "0" "  15" "6665" " 847" "  92" "  99" " 849" " 868" "   1" "   1" "   5" "  16" " 193" " 194" "1091" " 584" "0" "0" "   3" "   3" "0"
"GX012712" "0" "  12" " 955" "4589" " 268" "  43" " 577" "1316" "  15" "  12" "0" "  10" " 125" " 368" "2487" "3093" "   1" "   2" "   6" "  20" "   9"
"GX012710" "0" "0" "142" "602" " 22" " 15" "261" "831" "0" "0" "0" "0" " 38" " 50" "545" "336" "  2" "  1" "0" "  3" "0"
"GX012709" "0" "0" " 939" " 828" " 171" "  18" " 778" "1008" "0" "0" "   1" "   5" "  48" "  31" "  66" " 380" "  11" "   1" "   1" " 163" "0"
"GX012707" "0" "0" "1082" " 609" "  34" " 162" " 623" " 736" "0" "   2" "   1" "   4" "  11" "  51" "  20" " 227" "  12" "0" "   2" "   5" "0"
"GX012705" "0" "0" "108" "822" " 37" " 16" "412" "240" "0" "  3" "  1" "0" " 68" " 57" " 24" "121" "  2" "0" "0" "  1" "0"
"GX010787" "0" "  31" "8844" "0" "   1" "0" "   2" "0" "   1" "0" " 100" "  40" "   1" "   1" "0" "0" "0" "0" "0" "0" "0"
"GX010786" "0" " 697" "4786" "0" "0" "0" "   1" "0" "0" "0" "  10" "0" "0" "   1" "0" "0" "0" "   1" "0" "0" "0"
"GX010784" "0" " 170" "3439" "0" "  11" "0" "0" "   5" "   1" "0" "1105" "  15" "   1" "   5" "0" "0" "0" "0" "0" "0" "0"
"GX010778" "0" " 327" "8971" "  12" "  16" "0" "  13" "  20" "  46" "0" "  53" "   6" "0" "  13" "0" "0" "   2" "   1" "  13" "0" "0"
"GX010777" "0" "  20" "2168" "   1" "   1" "0" "0" "   4" "  12" "0" "  27" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010756" "0" "  1" "  1" "132" " 14" "0" "132" "200" "0" "0" "0" "0" "  3" " 18" "116" "  8" "0" "0" "0" "0" "0"
"GX010755" "0" "  9" "175" "197" " 46" "  4" "207" "344" "  1" "0" "  3" "137" " 14" "158" "865" " 51" "  1" "0" "0" "  6" "0"
"GX010754" "0" " 16" "319" "190" " 10" "0" "227" "392" "  1" "  7" "  1" " 33" " 22" "116" "  6" "  9" "0" "0" "  1" "0" "0"
"GH010022" "0" "0" "  6" "112" "  1" " 11" " 85" "200" "0" "0" "0" "0" "  3" "153" " 21" "114" "0" "0" "0" "  1" "0"
