"file" "Chromis_chromis" "Other" "Boops_boops" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Serranus_scriba" "Anthias_anthias" "Coris_julis" "Diplodus_sargus" "Oblada_melanura" "Sarpa_salpa" "Epinephelus_marginatus" "Symphodus_tinca" "Sciaena_umbra" "Thalassoma_pavo" "Diplodus_vulgaris" "Mullus_surmuletus" "Apogon_imberbis" "Sparus_aurata"
"GH010030" "8310" "   7" "2260" "0" "0" "  43" "0" "0" "  19" "   1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010029" " 39" "  6" "  1" "0" "0" "0" "0" "0" "265" "203" " 46" "  1" "0" " 95" "0" "0" "123" "  1" "0" "0"
"GH010028" "182" " 49" "  3" "0" "  2" "0" "  9" "0" "413" " 75" " 34" " 15" "0" "651" "0" " 36" " 40" "  2" "  3" "0"
"GH010027" " 12" "  6" "0" "0" "0" "0" "0" "  2" "597" "308" " 80" "315" "0" "357" "0" " 14" "  7" "0" "0" "0"
"GH010026" "1402" "  11" "  11" "0" "0" "0" "   1" "0" " 405" "  14" " 351" "  24" "0" " 407" "0" "  20" " 207" "   2" "0" "   1"
"GH010025" "4195" "  26" "0" "0" "   2" "0" "0" "0" "  89" "  53" " 136" " 104" "0" "  49" "0" "  12" " 482" "0" "0" "0"
"GH010024" "  3" "  6" "0" "0" "0" "0" "0" "0" "708" "181" " 31" " 14" "0" " 84" "0" " 75" "343" "  3" "0" "0"
"GH010023" "662" " 11" "211" "0" "  1" "  4" "0" " 11" "467" "178" "543" "231" "  1" "128" "  1" "  9" "213" "  8" "0" "0"
"GX012714" "4360" "  20" "   1" "0" "   1" "0" "  90" "   3" " 579" " 517" "  48" " 658" "0" " 487" "   1" " 131" " 347" "0" "   1" "0"
"GX012712" " 587" " 144" "   4" "  10" "   6" "0" "  33" "   2" " 849" "3334" " 100" "1559" "   2" " 278" "   1" "  77" "1941" "0" "   5" "   1"
"GX012710" " 54" "  6" "0" "0" "0" "0" " 14" "0" "571" "377" " 13" "396" "  1" "127" "0" " 18" "255" "  2" "  1" "0"
"GX012709" "646" "127" "0" "0" "0" "  1" " 13" "  2" "596" "585" "  6" " 20" "0" "485" "0" " 27" "284" "  8" "111" "0"
"GX012707" "833" " 11" "0" "0" "0" "0" "131" "  1" "409" "454" " 20" "  9" "0" "335" "0" "  1" "172" "  5" "  1" "0"
"GX012705" " 45" " 15" "0" "0" "  1" "0" " 12" "0" "120" "621" " 14" "  7" "0" "241" "0" " 44" " 68" "  1" "0" "0"
"GX010787" "5586" "0" "0" "   1" "0" "  29" "0" "  17" "0" "0" "0" "0" "0" "   1" "0" "0" "0" "0" "0" "0"
"GX010786" "2985" "0" " 462" "0" "0" "   3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010778" "6743" "   5" " 134" "  27" "0" "   8" "0" "   1" "  17" "   4" "   2" "0" "0" "   5" "   4" "0" "0" "0" "0" "0"
"GX010777" "1354" "0" "   3" "   2" "0" "   3" "0" "0" "   1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010756" "0" "  2" "0" "0" "0" "0" "0" "0" "112" " 64" "0" " 55" "0" " 59" "0" "  1" "  1" "0" "0" "0"
"GX010755" " 98" " 22" "  4" "0" "0" "0" "  4" " 67" "229" "111" " 93" "680" "0" "140" "0" "  6" " 34" "  1" "  2" "0"
"GX010754" "222" "  2" "  5" "0" "  1" "0" "0" " 23" "238" "129" " 73" "0" "0" "115" "0" "  8" "  1" "0" "0" "0"
"GH010022" "  1" "0" "0" "0" "0" "0" "  7" "0" "106" " 76" " 82" "  6" "0" " 36" "0" "  1" "102" "0" "0" "0"
