"file" "Coris_julis" "Mullus_surmuletus" "Apogon_imberbis" "Boops_boops" "Chromis_chromis" "Diplodus_sargus" "Other" "Sarpa_salpa" "Serranus_scriba" "Symphodus_tinca" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Anthias_anthias" "Thalassoma_pavo" "Diplodus_vulgaris" "Oblada_melanura" "Sparus_aurata" "Epinephelus_marginatus" "Sciaena_umbra"
"GH010398" "  23" "0" "0" "2884" "7842" "   2" "  34" "   2" "0" "   1" "  15" "0" "4286" "0" "   1" "   1" "  13" "0" "0" "0"
"GH010396" "   99" "0" "0" "  281" "12040" "    2" "    7" "    8" "0" "    2" "    2" "0" "   55" "0" "0" "    2" "   19" "0" "0" "0"
"GH010032" "   10" "0" "    1" "  143" "10997" "0" "   10" "0" "0" "    2" "0" "0" "   95" "0" "0" "0" "    8" "0" "0" "0"
"GH010031" "  84" "0" "0" "1047" "8050" "0" " 103" "   5" "0" "   5" "0" "0" " 204" "0" "0" "   1" "   3" "0" "0" "0"
"GH010030" "   45" "0" "0" " 4641" "14915" "    2" "   83" "    1" "0" "    6" "    6" "0" "  468" "    1" "0" "0" "    3" "0" "0" "    1"
"GH010029" "649" "  2" "  1" "  4" " 78" "387" " 47" " 37" " 10" "288" "0" "0" "  3" "0" "0" "242" "136" "0" "0" "  1"
"GH010028" "1103" "  14" "  12" "  27" " 395" " 213" " 156" "  90" "  22" "1332" "0" "  10" "   9" "0" "  92" " 171" " 144" "0" "   2" "   1"
"GH010027" "1365" "   4" "  59" "   2" "  59" " 633" "  64" " 909" "0" "1010" "0" "   1" "   1" "   6" "  32" "  22" " 379" "0" "0" "0"
"GH010026" " 978" "   8" "0" "  60" "2500" " 104" " 117" " 243" "   6" " 898" "0" "   6" "   1" "0" "  28" " 352" "1103" "  18" "0" "   2"
"GH010025" " 377" "0" "   4" "  17" "7744" " 261" " 188" " 507" "   4" " 291" "0" "   7" "   1" "   1" "  33" "1148" "1376" "   1" "   1" "0"
"GH010024" "1340" "   8" "0" "   5" "  46" " 691" "  22" " 146" "0" " 342" "0" "0" "   1" "0" " 142" " 797" " 189" "0" "0" "0"
"GH010023" " 997" "  18" "   2" " 817" "2130" " 682" " 143" " 744" "   1" " 343" "   2" "   4" "  41" "  56" "  23" " 420" "1693" "0" "  10" "   2"
"GX012714" "1179" "   3" "   6" "  45" "9016" "1117" " 197" "1388" " 108" "1211" "   5" "   8" "  13" "  45" " 248" " 708" " 372" "   1" "0" "   4"
"GX012712" "1722" "   9" "  29" "  27" "1360" "5542" " 339" "3048" "  49" " 834" "  24" "  12" "0" "  22" " 159" "3843" " 699" "  27" "   8" "  16"
"GX012710" "1080" "   5" "   5" "   2" " 253" " 773" "  34" " 626" "  17" " 397" "0" "0" "   5" "   2" "  48" " 413" " 125" "0" "   2" "0"
"GX012709" "1286" "  14" " 203" "0" "1144" " 994" " 221" " 117" "  24" " 981" "0" "   1" "   2" "  13" "  74" " 443" "  82" "   2" "   1" "   1"
"GX012707" "1065" "  19" "  11" "   2" "1269" " 740" "  63" "  40" " 176" " 853" "   1" "   3" "   5" "  11" "  27" " 264" "  88" "0" "   2" "   4"
"GX012705" "378" "  5" "  4" "  1" "159" "945" " 68" " 38" " 19" "529" "0" "  7" "  2" "  1" " 86" "156" "110" "0" "0" "  1"
"GX010787" "0" "    1" "0" "  118" "12070" "0" "    3" "    1" "0" "    5" "    5" "0" "  213" "   53" "    1" "0" "    1" "    3" "0" "0"
"GX010786" "0" "0" "0" " 861" "6615" "0" "   2" "0" "   1" "   1" "0" "0" "  44" "   1" "0" "0" "   3" "0" "   2" "0"
"GX010784" "  14" "0" "0" " 402" "4275" "   4" "  26" "   1" "   1" "0" "  14" "0" "1608" "  19" "   1" "0" "  14" "0" "0" "0"
"GX010778" "   28" "    2" "0" "  565" "10998" "   19" "   40" "0" "0" "   16" "   91" "0" "  153" "   10" "    1" "    3" "   27" "0" "    1" "   20"
"GX010777" "  10" "0" "0" "  38" "3011" "   1" "   3" "0" "   1" "   2" "  23" "0" "  60" "0" "0" "0" "   8" "   1" "   1" "0"
"GX010756" "288" "  1" "0" "  1" "  1" "189" " 30" "178" "0" "166" "0" "0" "0" "0" "  7" " 16" " 38" "0" "0" "0"
"GX010755" "422" "  2" " 11" " 16" "234" "292" " 66" "981" "  6" "257" "  3" "0" "  5" "180" " 24" " 63" "238" "0" "  1" "0"
"GX010754" "520" "0" "0" " 28" "420" "266" " 31" " 20" "  1" "324" "  1" " 11" "  1" " 39" " 41" " 19" "147" "0" "0" "  2"
"GH010022" "303" "  1" "  1" "0" " 18" "133" "  4" " 35" " 20" "135" "0" "  4" "  1" "0" "  6" "122" "204" "0" "  1" "0"
