"file" "Chromis_chromis" "Coris_julis" "Serranus_scriba" "Spicara_smaris" "transNameCounts" "Boops_boops" "Seriola" "Anthias_anthias" "Diplodus_sargus" "Diplodus_vulgaris" "Epinephelus_marginatus" "Oblada_melanura" "Other" "Sarpa_salpa" "Sciaena_umbra" "Serranus_cabrilla" "Symphodus_tinca" "Thalassoma_pavo" "Apogon_imberbis" "Mullus_surmuletus" "Sparus_aurata"
"GH010030" "6084" "   8" "0" "   9" "0" "1400" "0" "0" "0" "0" "0" "0" "   1" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010029" " 25" "146" "0" "0" "0" "0" "0" "0" " 93" " 50" "0" " 18" "  1" "0" "0" "0" " 30" "0" "0" "0" "0"
"GH010028" "112" "224" "  4" "0" "0" "  1" "0" "0" " 43" "  5" "0" " 10" " 21" "  3" "0" "0" "320" " 26" "  1" "  2" "0"
"GH010027" "  5" "213" "0" "0" "0" "0" "0" "  1" "136" "  2" "0" " 10" "  1" "168" "0" "0" "135" "  8" "0" "0" "0"
"GH010026" "969" "248" "0" "0" "0" "  3" "0" "0" "  3" "116" "0" " 77" "  2" "  5" "0" "0" "138" " 17" "0" "  2" "0"
"GH010025" "2847" "  35" "0" "0" "0" "0" "0" "0" "  13" " 188" "0" "  12" "   4" "  24" "0" "0" "  12" "   8" "0" "0" "0"
"GH010024" "0" "454" "0" "0" "0" "0" "0" "0" " 42" " 85" "0" "  4" "  2" "0" "0" "0" " 23" " 30" "0" "  1" "0"
"GH010023" "341" "289" "0" "0" "0" " 96" "0" "  5" " 69" " 88" "0" "234" "  3" "125" "0" "  1" " 68" "  3" "0" "  5" "0"
"GX012714" "2797" " 353" "  74" "0" "0" "0" "0" "   1" " 271" " 162" "0" "   9" "   2" " 358" "0" "0" " 226" "  60" "0" "0" "0"
"GX012712" " 337" " 499" "  18" "0" "0" "0" "   6" "   1" "2160" " 887" "0" "  18" "  71" " 872" "0" "   1" " 107" "  48" "   4" "0" "   1"
"GX012710" " 16" "253" "  9" "0" "0" "0" "0" "0" "221" "132" "0" "  5" "0" "156" "0" "0" " 23" "  5" "  1" "  1" "0"
