"file" "transNameCounts" "Boops_boops" "Chromis_chromis" "Diplodus_sargus" "Other" "Sarpa_salpa" "Serranus_scriba" "Symphodus_tinca" "Coris_julis" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Anthias_anthias" "Thalassoma_pavo" "Oblada_melanura" "Diplodus_vulgaris" "Mullus_surmuletus" "Epinephelus_marginatus" "Sciaena_umbra" "Apogon_imberbis" "Sparus_aurata"
"GH010403" "0" " 472" "8928" "   1" "0" "0" "0" "0" "   3" "0" "0" " 290" "0" "0" "   1" "   1" "   1" "0" "0" "0" "0"
"GH010398" "0" "2418" "7156" "   2" "  21" "   1" "0" "0" "  19" "  11" "0" "3515" "0" "   1" "   7" "0" "0" "0" "0" "0" "0"
"GH010396" "0" "  242" "11150" "    2" "    3" "    6" "0" "    2" "   83" "    1" "0" "   37" "0" "0" "   15" "    1" "0" "0" "0" "0" "0"
"GH010032" "0" "  108" "10061" "0" "    7" "0" "0" "    2" "    8" "0" "0" "   59" "0" "0" "    5" "0" "0" "0" "0" "    1" "0"
"GH010031" "0" " 894" "7257" "0" "  55" "   4" "0" "   5" "  64" "0" "0" " 126" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010030" "0" " 4186" "13526" "    2" "   63" "0" "0" "    3" "   37" "    5" "0" "  356" "0" "0" "    1" "0" "0" "0" "    1" "0" "0"
"GH010029" "0" "  3" " 70" "354" " 26" " 30" "  6" "246" "564" "0" "0" "  3" "0" "0" "117" "225" "  1" "0" "  1" "  1" "0"
"GH010028" "0" "  21" " 348" " 188" " 133" "  70" "  19" "1219" " 944" "0" "   6" "   7" "0" "  78" " 120" " 155" "  12" "   1" "0" "  10" "0"
"GH010027" "0" "   2" "  47" " 567" "  43" " 772" "0" " 874" "1195" "0" "   1" "0" "   6" "  28" " 314" "  20" "   4" "0" "0" "  32" "0"
"GH010026" "0" "  49" "2259" "  71" "  79" " 180" "   5" " 806" " 839" "0" "   5" "0" "0" "  26" " 980" " 338" "   8" "0" "0" "0" "  13"
"GH010025" "0" "  13" "6972" " 212" " 131" " 409" "   1" " 219" " 297" "0" "   7" "0" "0" "  30" " 987" "1045" "0" "   1" "0" "   2" "   1"
"GH010024" "0" "   4" "  28" " 623" "  12" " 108" "0" " 287" "1212" "0" "0" "   1" "0" " 132" " 146" " 743" "   7" "0" "0" "0" "0"
"GH010023" "0" " 669" "1726" " 563" "  98" " 616" "   1" " 287" " 889" "   1" "   2" "  27" "  46" "  21" "1388" " 387" "  15" "   7" "   2" "   2" "0"
"GX012714" "0" "  30" "7969" "1015" " 149" "1263" " 104" "1073" "1047" "   4" "   2" "   8" "  36" " 223" " 305" " 659" "   1" "0" "   3" "   3" "   1"
"GX012712" "0" "  21" "1178" "5138" " 311" "2835" "  46" " 732" "1539" "  21" "  12" "0" "  15" " 144" " 543" "3552" "   4" "   5" "  13" "  26" "  14"
"GX012710" "0" "0" "205" "701" " 28" "589" " 15" "347" "969" "0" "0" "  1" "0" " 41" " 92" "381" "  5" "  1" "0" "  4" "0"
"GX012709" "0" "0" "1055" " 933" " 195" "  92" "  23" " 911" "1155" "0" "0" "   2" "   9" "  61" "  59" " 414" "  12" "   1" "   1" " 189" "   1"
"GX012707" "0" "   1" "1199" " 688" "  51" "  33" " 170" " 746" " 909" "   1" "   2" "   5" "   9" "  16" "  73" " 251" "  16" "   1" "   3" "   9" "0"
"GX012705" "0" "0" "137" "902" " 52" " 31" " 19" "477" "318" "0" "  4" "  2" "  1" " 77" " 83" "139" "  3" "0" "  1" "  3" "0"
"GX010787" "0" "   76" "10695" "0" "    1" "0" "0" "    5" "0" "    2" "0" "  161" "   47" "    1" "    1" "0" "0" "0" "0" "0" "    1"
"GX010786" "0" " 804" "5792" "0" "   1" "0" "0" "   1" "0" "0" "0" "  23" "0" "0" "   2" "0" "0" "   1" "0" "0" "0"
"GX010784" "0" " 296" "3920" "   2" "  18" "   1" "0" "0" "   8" "   7" "0" "1406" "  16" "   1" "   8" "0" "0" "0" "0" "0" "0"
"GX010778" "0" "  454" "10145" "   18" "   30" "0" "0" "   15" "   24" "   63" "0" "  113" "    9" "0" "   20" "    2" "    2" "    1" "   17" "0" "0"
"GX010777" "0" "  31" "2632" "   1" "   2" "0" "0" "   1" "   7" "  18" "0" "  42" "0" "0" "   6" "0" "0" "   1" "0" "0" "0"
"GX010756" "0" "  1" "  1" "153" " 23" "150" "0" "152" "248" "0" "0" "0" "0" "  4" " 29" " 13" "0" "0" "0" "0" "0"
"GX010755" "0" " 11" "200" "251" " 57" "938" "  4" "237" "389" "  1" "0" "  3" "161" " 17" "205" " 60" "  1" "  1" "0" "  9" "0"
"GX010754" "0" " 22" "379" "241" " 21" " 12" "0" "284" "464" "  1" "  9" "  1" " 36" " 35" "132" " 15" "0" "0" "  1" "0" "0"
"GH010022" "0" "0" " 14" "125" "  3" " 30" " 17" "115" "256" "0" "  3" "  1" "0" "  4" "188" "118" "0" "  1" "0" "  1" "0"
