"file" "Coris_julis" "Mullus_surmuletus" "Boops_boops" "Chromis_chromis" "Diplodus_sargus" "Other" "Sarpa_salpa" "Serranus_scriba" "Symphodus_tinca" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Anthias_anthias" "Thalassoma_pavo" "Diplodus_vulgaris" "Oblada_melanura" "Sparus_aurata" "Epinephelus_marginatus" "Apogon_imberbis" "Sciaena_umbra"
"GH010398" "  21" "0" "2644" "7469" "   2" "  31" "   1" "0" "   1" "  13" "0" "3875" "0" "   1" "0" "   9" "0" "0" "0" "0"
"GH010396" "   87" "0" "  259" "11585" "    2" "    5" "    8" "0" "    2" "    2" "0" "   41" "0" "0" "    2" "   18" "0" "0" "0" "0"
"GH010032" "    8" "0" "  123" "10514" "0" "    7" "0" "0" "    2" "0" "0" "   71" "0" "0" "0" "    7" "0" "0" "    1" "0"
"GH010031" "  71" "0" " 962" "7617" "0" "  74" "   4" "0" "   5" "0" "0" " 158" "0" "0" "   1" "   2" "0" "0" "0" "0"
"GH010030" "   41" "0" " 4427" "14192" "    2" "   73" "    1" "0" "    5" "    6" "0" "  406" "0" "0" "0" "    1" "0" "0" "0" "    1"
"GH010029" "603" "  1" "  4" " 76" "377" " 36" " 33" "  7" "265" "0" "0" "  3" "0" "0" "233" "129" "0" "0" "  1" "  1"
"GH010028" "1021" "  13" "  25" " 376" " 201" " 142" "  82" "  19" "1266" "0" "   9" "   9" "0" "  87" " 167" " 132" "0" "   1" "  11" "   1"
"GH010027" "1278" "   4" "   2" "  53" " 606" "  54" " 829" "0" " 935" "0" "   1" "0" "   6" "  30" "  21" " 343" "0" "0" "  42" "0"
"GH010026" " 903" "   8" "  54" "2364" "  82" "  96" " 212" "   5" " 849" "0" "   6" "0" "0" "  27" " 345" "1039" "  14" "0" "0" "0"
"GH010025" " 327" "0" "  14" "7338" " 233" " 156" " 458" "   2" " 252" "0" "   7" "0" "0" "  32" "1096" "1156" "   1" "   1" "   4" "0"
"GH010024" "1273" "   8" "   4" "  37" " 664" "  16" " 127" "0" " 308" "0" "0" "   1" "0" " 136" " 767" " 163" "0" "0" "0" "0"
"GH010023" " 941" "  17" " 736" "1921" " 628" " 115" " 677" "   1" " 313" "   2" "   3" "  33" "  50" "  23" " 404" "1519" "0" "   8" "   2" "   2"
"GX012714" "1109" "   1" "  37" "8456" "1062" " 171" "1321" " 106" "1131" "   5" "   4" "  11" "  41" " 234" " 687" " 333" "   1" "0" "   4" "   4"
"GX012712" "1619" "   7" "  24" "1256" "5320" " 324" "2942" "  48" " 784" "  24" "  12" "0" "  20" " 149" "3674" " 602" "  19" "   7" "  28" "  16"
"GX012710" "1010" "   5" "   1" " 224" " 728" "  30" " 613" "  16" " 370" "0" "0" "   2" "   2" "  44" " 397" " 106" "0" "   2" "   5" "0"
"GX012709" "1226" "  12" "0" "1094" " 962" " 211" " 104" "  24" " 945" "0" "0" "   2" "  12" "  69" " 427" "  65" "   1" "   1" " 195" "   1"
"GX012707" " 983" "  17" "   2" "1230" " 716" "  58" "  34" " 174" " 800" "   1" "   2" "   5" "  10" "  21" " 258" "  80" "0" "   1" "  10" "   3"
"GX012705" "341" "  3" "0" "146" "925" " 61" " 36" " 19" "501" "0" "  4" "  2" "  1" " 81" "147" " 96" "0" "0" "  4" "  1"
"GX010787" "0" "0" "   94" "11343" "0" "    1" "0" "0" "    5" "    3" "0" "  182" "   49" "    1" "0" "    1" "    3" "0" "0" "0"
"GX010786" "0" "0" " 832" "6174" "0" "   2" "0" "0" "   1" "0" "0" "  35" "0" "0" "0" "   2" "0" "   1" "0" "0"
"GX010784" "  12" "0" " 347" "4087" "   3" "  21" "   1" "0" "0" "  13" "0" "1506" "  17" "   1" "0" "  12" "0" "0" "0" "0"
"GX010778" "   25" "    2" "  500" "10540" "   19" "   34" "0" "0" "   16" "   79" "0" "  129" "   10" "    1" "    3" "   23" "0" "    1" "0" "   19"
"GX010777" "   8" "0" "  33" "2820" "   1" "   2" "0" "0" "   2" "  19" "0" "  54" "0" "0" "0" "   7" "0" "   1" "0" "0"
"GX010756" "272" "  1" "  1" "  1" "174" " 27" "159" "0" "157" "0" "0" "0" "0" "  5" " 14" " 35" "0" "0" "0" "0"
"GX010755" "397" "  1" " 15" "213" "273" " 62" "962" "  5" "245" "  1" "0" "  5" "170" " 22" " 62" "220" "0" "  1" " 10" "0"
"GX010754" "488" "0" " 25" "395" "253" " 26" " 18" "0" "306" "  1" "  9" "  1" " 37" " 38" " 17" "139" "0" "0" "0" "  1"
"GH010022" "274" "  1" "0" " 17" "129" "  3" " 31" " 18" "125" "0" "  4" "  1" "0" "  4" "120" "194" "0" "  1" "  1" "0"
