"file" "Boops_boops" "Coris_julis" "Mullus_surmuletus" "Spicara_smaris" "Apogon_imberbis" "Chromis_chromis" "Diplodus_sargus" "Oblada_melanura" "Other" "Sarpa_salpa" "Serranus_scriba" "Symphodus_tinca" "Thalassoma_pavo" "Diplodus_vulgaris" "Seriola" "Serranus_cabrilla" "Sparus_aurata" "Anthias_anthias" "Epinephelus_marginatus" "Sciaena_umbra"
"GH010403" "  719" "   35" "    2" "  677" "    2" "12424" "   14" "   33" "    6" "    1" "    2" "    2" "0" "    6" "0" "0" "0" "    1" "0" "0"
"GH010398" " 4615" "   66" "0" " 7533" "0" "10320" "    8" "   55" "   88" "   10" "0" "    4" "    1" "    1" "   30" "0" "0" "0" "0" "0"
"GH010396" "  427" "  167" "0" "  144" "0" "15245" "    6" "   68" "   13" "   10" "0" "    8" "    3" "    3" "    4" "0" "0" "    1" "0" "0"
"GH010032" "  265" "   28" "    1" "  309" "    2" "14737" "    2" "   29" "   50" "0" "    4" "    8" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010031" " 1686" "  143" "0" "  819" "0" "11376" "    2" "   18" "  396" "    6" "    1" "    8" "    1" "    1" "    1" "0" "0" "0" "0" "0"
"GH010030" " 6280" "   80" "0" " 1100" "0" "20291" "   16" "   19" "  146" "    3" "    2" "    9" "0" "0" "   13" "0" "0" "    2" "0" "    1"
"GH010029" "  10" "1038" "   9" "  14" "   5" " 171" " 507" " 184" " 126" "  74" "  42" " 506" "  14" " 322" "0" "   1" "0" "   3" "   1" "   1"
"GH010028" "  45" "1912" "  25" "  61" "  23" " 640" " 351" " 316" " 273" " 148" "  57" "1869" " 166" " 253" "0" "  19" "0" "   1" "   4" "   1"
"GH010027" "  10" "2033" "   7" "  10" " 239" " 129" " 837" " 666" " 171" "1517" "   3" "1716" "  95" "  49" "0" "   2" "   1" "  33" "0" "0"
"GH010026" "  93" "1759" "  10" "  17" "   1" "3572" " 245" "1638" " 254" " 481" "  13" "1353" "  67" " 414" "   1" "  15" "  46" "0" "0" "   2"
"GH010025" "   41" "  861" "0" "    4" "   19" "11039" "  527" " 3545" "  520" "  874" "   13" "  659" "   84" " 1586" "    1" "   12" "    2" "    9" "    2" "0"
"GH010024" "  14" "1979" "  12" "   4" "0" " 121" " 970" " 386" "  68" " 347" "   5" " 586" " 185" " 963" "0" "   1" "   1" "0" "0" "0"
"GH010023" "1438" "1511" "  28" " 129" "  11" "3820" "1015" "2628" " 478" "1171" "   2" " 571" "  59" " 524" "   5" "   5" "   3" "  94" "  29" "   4"
"GX012714" "  111" " 1995" "   21" "   45" "   16" "13257" " 1489" "  679" "  382" " 1785" "  131" " 1762" "  398" "  847" "   12" "   18" "    4" "   90" "    1" "   16"
"GX012712" "  70" "2496" "  18" "   4" "  44" "2183" "7004" "1248" " 515" "3620" "  72" "1294" " 250" "4806" "  39" "  29" "  58" "  42" "  18" "  25"
"GX012710" "   6" "1628" "  10" "  25" "   9" " 507" "1073" " 258" "  87" " 731" "  30" " 646" " 101" " 520" "0" "   4" "   1" "   5" "   7" "0"
"GX012709" "   3" "1896" "  20" "  12" " 246" "1521" "1281" " 201" " 310" " 206" "  42" "1411" " 150" " 549" "0" "   9" "   3" "  24" "   2" "   3"
"GX012707" "  12" "1857" "  37" "  11" "  30" "1597" " 928" " 192" " 146" "  82" " 230" "1280" "  99" " 309" "   1" "  11" "0" "  20" "   8" "  10"
"GX012705" "   3" " 772" "   7" "   2" "  13" " 258" "1162" " 233" " 240" "  99" "  25" " 829" " 128" " 228" "0" "  17" "0" "   5" "   1" "   4"
"GX010787" "  331" "    4" "    1" "  481" "0" "17777" "0" "    7" "   20" "    3" "0" "   10" "    2" "    6" "   32" "0" "   11" "   76" "0" "    1"
"GX010786" " 1106" "    9" "0" "  340" "0" "10122" "    2" "   18" "   18" "0" "    1" "    2" "0" "    1" "    3" "0" "0" "    2" "    3" "    1"
"GX010784" " 798" "  34" "0" "2258" "0" "5846" "  13" "  58" "  90" "   4" "   5" "   2" "  10" "   6" "  76" "0" "   2" "  26" "0" "0"
"GX010778" "  949" "   44" "    3" "  423" "0" "14663" "   40" "   58" "   86" "    1" "    5" "   24" "    1" "    6" "  184" "    3" "    1" "   19" "    2" "   26"
"GX010777" "  81" "  14" "0" " 140" "0" "4640" "   2" "  29" "  15" "0" "   3" "   5" "   1" "   1" "  51" "0" "   2" "0" "   1" "0"
"GX010756" "  3" "458" "  1" "  1" "0" " 11" "329" " 98" " 61" "316" "0" "260" " 15" " 35" "  1" "0" "0" "0" "0" "  1"
"GX010755" "  24" " 668" "   3" "  27" "  32" " 337" " 428" " 352" " 120" "1157" "   9" " 354" "  54" "  95" "   4" "   1" "0" " 230" "   1" "0"
"GX010754" " 53" "824" "0" "  8" "0" "638" "404" "229" " 75" " 46" "  4" "473" " 64" " 52" "  3" " 17" "  1" " 63" "  6" "  6"
"GH010022" "0" "559" "  1" "  7" "  6" " 69" "168" "303" " 27" " 74" " 36" "227" " 26" "134" "0" " 11" "0" "  1" "  3" "  2"
