"file" "Boops_boops" "Chromis_chromis" "Diplodus_sargus" "Other" "Serranus_scriba" "Symphodus_tinca" "Coris_julis" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Anthias_anthias" "Thalassoma_pavo" "Oblada_melanura" "Sarpa_salpa" "Diplodus_vulgaris" "Mullus_surmuletus" "Epinephelus_marginatus" "Sciaena_umbra" "Apogon_imberbis" "Sparus_aurata"
"GH010031" " 643" "5777" "0" "  15" "0" "   4" "  51" "0" "0" "  62" "0" "0" "0" "   2" "0" "0" "0" "0" "0" "0"
"GH010030" " 3326" "11178" "    2" "   32" "0" "    1" "   27" "    2" "0" "  172" "0" "0" "0" "0" "0" "0" "0" "    1" "0" "0"
"GH010029" "  2" " 51" "299" " 13" "  3" "171" "440" "0" "0" "  1" "0" "0" " 83" " 10" "181" "  1" "0" "0" "  1" "0"
"GH010028" "  14" " 258" " 127" "  87" "  15" "1011" " 701" "0" "   4" "   1" "0" "  56" "  72" "  44" " 106" "   8" "0" "0" "   7" "0"
"GH010027" "0" " 29" "444" " 19" "0" "632" "947" "0" "  1" "0" "  4" " 18" "214" "543" " 14" "  1" "0" "0" "  9" "0"
"GH010026" "  29" "1851" "  32" "  39" "   2" " 639" " 620" "0" "   1" "0" "0" "  23" " 728" "  93" " 298" "   4" "0" "0" "0" "   4"
"GH010025" "   6" "5693" " 125" "  65" "0" " 125" " 184" "0" "   5" "0" "0" "  18" " 492" " 257" " 840" "0" "   1" "0" "   1" "0"
"GH010024" "  1" " 13" "436" "  7" "0" "191" "989" "0" "0" "  1" "0" "114" " 80" " 57" "583" "  4" "0" "0" "0" "0"
"GH010023" " 428" "1161" " 380" "  39" "0" " 200" " 690" "0" "   1" "  13" "  29" "  14" " 963" " 412" " 312" "   9" "   2" "   2" "0" "0"
"GX012714" "  10" "6269" " 798" "  79" "  97" " 792" " 826" "   1" "   1" "   5" "  13" " 183" " 173" "1030" " 542" "0" "0" "   2" "   2" "0"
"GX012712" "  10" " 890" "4387" " 251" "  42" " 514" "1242" "  15" "  12" "0" "   9" " 120" " 316" "2355" "2902" "   1" "   2" "   5" "  15" "   7"
"GX012710" "0" "120" "574" " 21" " 15" "244" "790" "0" "0" "0" "0" " 31" " 38" "526" "324" "  2" "  1" "0" "  2" "0"
"GX012709" "0" "886" "793" "160" " 17" "744" "947" "0" "0" "  1" "  3" " 45" " 27" " 54" "367" " 10" "0" "0" "158" "0"
"GX012707" "0" "1044" " 588" "  31" " 158" " 568" " 680" "0" "   1" "   1" "   3" "   8" "  45" "  14" " 220" "  10" "0" "   2" "   4" "0"
"GX012705" "0" " 99" "787" " 28" " 16" "384" "206" "0" "  1" "0" "0" " 66" " 45" " 19" "117" "  2" "0" "0" "  1" "0"
"GX010787" "  21" "8282" "0" "0" "0" "   2" "0" "   1" "0" "  81" "  34" "   1" "   1" "0" "0" "0" "0" "0" "0" "0"
"GX010786" " 668" "4472" "0" "0" "0" "0" "0" "0" "0" "   7" "0" "0" "   1" "0" "0" "0" "0" "0" "0" "0"
"GX010784" " 133" "3301" "0" "   9" "0" "0" "   4" "   1" "0" "1000" "  14" "   1" "   4" "0" "0" "0" "0" "0" "0" "0"
"GX010778" " 286" "8576" "   9" "  14" "0" "  12" "  19" "  36" "0" "  38" "   5" "0" "  10" "0" "0" "   2" "   1" "  12" "0" "0"
"GX010777" "  15" "2027" "0" "   1" "0" "0" "   3" "  12" "0" "  23" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010756" "  1" "  1" "120" "  9" "0" "123" "185" "0" "0" "0" "0" "  3" " 11" "104" "  7" "0" "0" "0" "0" "0"
"GX010755" "  9" "158" "184" " 44" "  4" "195" "323" "0" "0" "  2" "131" " 13" "149" "836" " 50" "  1" "0" "0" "  5" "0"
"GX010754" " 16" "300" "182" " 10" "0" "212" "364" "  1" "  6" "  1" " 31" " 18" "108" "  3" "  8" "0" "0" "0" "0" "0"
"GH010022" "0" "  4" "107" "  1" "  8" " 77" "179" "0" "0" "0" "0" "  3" "136" " 20" "114" "0" "0" "0" "0" "0"
