"file" "transNameCounts" "Boops_boops" "Chromis_chromis" "Diplodus_sargus" "Other" "Serranus_scriba" "Symphodus_tinca" "Coris_julis" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Anthias_anthias" "Sarpa_salpa" "Thalassoma_pavo" "Oblada_melanura" "Diplodus_vulgaris" "Mullus_surmuletus" "Epinephelus_marginatus" "Sciaena_umbra" "Apogon_imberbis" "Sparus_aurata"
"GH010757" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010401" "0" "1" "7" "2" "8" "1" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GX010779" "0" "404" "  4" "  1" "0" "0" "  1" "  7" " 28" "  1" "238" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011369" "0" "  1" "628" "0" "  7" "  4" "0" "  5" "  1" "0" " 33" "  1" "  1" "  1" "0" "0" "0" "0" "0" "0" "0"
"GX010785" "0" " 158" "1745" "   1" "   5" "   1" "0" "  33" "0" "0" " 182" "   1" "   1" "   1" "0" "0" "0" "0" "0" "0" "0"
"GH010399" "0" "198" "404" " 53" "  7" "0" "  4" "  8" "168" "0" "181" "0" " 36" "0" " 18" "0" "0" "0" "0" "0" "0"
"GH011372" "0" " 111" "1505" "0" "  47" "  21" "   4" "  33" "   5" "   1" "  54" "0" "   3" "0" "   1" "   1" "   1" "0" "0" "0" "0"
"GH010424" "0" "  18" "2900" "0" "  20" "   1" "  29" "  77" "0" "0" "  28" "0" "0" "0" "   2" "0" "0" "   1" "0" "0" "0"
"GH010400" "0" " 11" "486" "0" "  8" "0" "  2" "  5" "  1" "0" "0" "0" "  5" "0" "0" "  1" "  1" "0" "0" "0" "0"
"GX010788" "0" "  2" "186" "  1" "0" " 10" "0" " 36" "  1" "0" " 11" "0" "0" "  5" "0" "0" "0" "0" "0" "0" "0"
"GX010783" "0" "   1" "4202" "   3" "   1" "   3" "   5" "   3" "   8" "0" "  90" "0" "0" "0" "   2" "0" "0" "0" "0" "0" "0"
"GH010739" "0" "  20" "2081" "   2" "   2" "  11" "   9" "  83" "0" "0" "   8" "0" "0" "0" "   4" "0" "0" "0" "0" "0" "0"
"GH010397" "0" "7993" "9018" "   6" " 262" "0" "   1" " 159" "   9" "0" "2308" "0" "   4" "   1" "   6" "0" "0" "0" "   1" "0" "0"
"GX010753" "0" "  29" "  29" "  72" "1423" "0" "  52" " 251" "   1" "   2" "  22" "   7" "  10" "  17" " 117" "   2" "0" "0" "0" "   2" "0"
"GX010752" "0" " 117" "2626" " 213" " 393" "0" "  76" " 409" "  13" "   3" "  20" "  33" " 279" "  12" "  47" "  23" "   2" "   1" "0" "   1" "0"
"GH011373" "0" "84" "32" " 1" " 9" "0" "0" "80" "0" "0" " 5" "0" "0" "0" "0" "0" " 1" "0" "0" "0" "0"
"GH011371" "0" " 126" "1762" "   8" "  27" "0" "   3" "  32" "  70" "0" " 161" "0" "   6" "0" "  15" "   5" "0" "0" "0" "0" "0"
"GH011370" "0" "0" "13" "0" " 6" " 3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"GH011368" "0" "3052" " 804" "   5" "   1" "   5" "   3" "   3" "   1" "0" " 733" "   3" "   1" "0" "  69" "   4" "0" "0" "0" "0" "0"
"GH010758" "0" "  1" "714" "0" "0" "0" "0" "  3" "0" "0" " 31" "0" "0" "0" "  1" "  1" "0" "0" "0" "0" "  4"
"GH010743" "0" " 123" "1555" " 131" " 129" " 156" " 236" " 517" "  20" "0" "   1" "0" " 111" "   2" "   4" "  38" "   1" "  36" "   4" "   2" "0"
"GH010742" "0" " 293" "1815" "   5" "  33" "  11" "  38" " 318" "  11" "0" "  74" "0" "   3" "0" "   8" "   3" "   1" "   2" "   4" "0" "0"
"GH010740" "0" " 22" "806" " 23" " 11" "  5" " 74" "633" "0" "  4" "  2" "0" "  1" "  2" "  2" " 19" "0" "  1" "0" " 37" "0"
"GH010737" "0" "  40" "6260" "  13" "   6" "0" "0" "  44" "  10" "0" " 202" "   1" "  15" "0" "  25" "   2" "0" "0" "   1" "0" "0"
"GH010404" "0" "   3" "4432" "0" "   1" "0" "   2" "   2" "0" "0" "  21" "0" "0" "0" "  29" "0" "0" "0" "0" "0" "0"
"GH010736" "0" "  17" "3588" "0" "   2" "0" "   1" "  20" "   1" "0" " 110" "   1" "   5" "   1" "   8" "   1" "0" "0" "0" "0" "   2"
"GH010453" "0" " 75" " 32" " 43" " 15" "  3" " 32" "108" "  3" "0" " 20" "0" " 10" "0" "  1" "  1" "  3" "0" "0" "0" "0"
"GH010452" "0" "117" "183" " 16" "0" "0" "  1" " 13" "  7" "0" " 20" "0" " 16" "  1" "  1" "0" "0" "0" "0" "0" "0"
"GH010451" "0" " 569" "3148" "   2" "  25" "0" "   6" "  14" "   8" "0" " 254" "0" "  35" "   3" "   8" "0" "0" "0" "0" "0" "0"
"GH010449" "0" " 5083" "   56" "  282" "  407" "0" "   12" "  245" "    8" "   16" "10659" "  118" "    1" "    1" "   52" "  378" "0" "   52" "   14" "0" "   12"
"GH010448" "0" "1073" " 314" "  37" " 458" "0" "  20" " 838" "   1" "  10" "3042" "  48" " 428" "   1" "  22" " 200" "0" "0" "   2" "   6" "   1"
"GH010446" "0" "1745" " 253" "  17" " 509" "0" "  10" " 882" "0" "  34" "1579" " 242" "  14" "   4" "  15" "  18" "   3" "  10" "   1" "  12" "0"
"GH010419" "0" " 777" "1531" "  15" "  29" "   6" "   4" " 278" "  37" "0" " 261" "0" " 151" "0" "  47" "   1" "0" "   7" "  15" "0" "0"
"GH010418" "0" "  75" "2495" "  13" "  28" "  16" "   5" " 140" "   1" "0" " 120" "0" "   9" "0" "  17" "0" "0" "0" "0" "0" "0"
"GH010417" "0" "  32" "1867" "  10" "   8" "0" "0" "  19" "0" "0" "  92" "0" "  10" "0" "  10" "   2" "0" "0" "0" "0" "   1"
"GH010405" "0" "    2" "10016" "   13" "0" "0" "0" "0" "0" "0" "   14" "0" "    3" "0" "    7" "0" "0" "0" "0" "0" "0"
"GH010403" "0" " 422" "8254" "0" "0" "0" "0" "   2" "0" "0" " 227" "0" "0" "0" "0" "   1" "   1" "0" "0" "0" "0"
"GH010398" "0" "1957" "6541" "   1" "  12" "0" "0" "  17" "   9" "0" "2893" "0" "   1" "   1" "   1" "0" "0" "0" "0" "0" "0"
"GH010396" "0" "  199" "10366" "0" "    2" "0" "    1" "   64" "    1" "0" "   25" "0" "    3" "0" "    7" "    1" "0" "0" "0" "0" "0"
"GH010032" "0" "  81" "9266" "0" "   5" "0" "   1" "   4" "0" "0" "  41" "0" "0" "0" "   2" "0" "0" "0" "0" "0" "0"
"GH010031" "0" " 777" "6496" "0" "  32" "0" "   4" "  58" "0" "0" "  80" "0" "   3" "0" "0" "0" "0" "0" "0" "0" "0"
"GH010030" "0" " 3759" "12333" "    2" "   51" "0" "    1" "   30" "    4" "0" "  255" "0" "0" "0" "0" "0" "0" "0" "    1" "0" "0"
"GH010029" "0" "  3" " 59" "327" " 22" "  4" "206" "497" "0" "0" "  1" "0" " 19" "0" " 99" "200" "  1" "0" "  1" "  1" "0"
"GH010028" "0" "  17" " 294" " 154" " 113" "  15" "1124" " 829" "0" "   5" "   1" "0" "  60" "  67" "  95" " 127" "  10" "   1" "0" "   8" "0"
"GH010027" "0" "   2" "  35" " 500" "  28" "0" " 742" "1068" "0" "   1" "0" "   4" " 645" "  24" " 265" "  16" "   3" "0" "0" "  19" "0"
"GH010026" "0" "  37" "2042" "  46" "  55" "   3" " 724" " 720" "0" "   4" "0" "0" " 136" "  24" " 863" " 322" "   5" "0" "0" "0" "   9"
"GH010025" "0" "  10" "6336" " 165" "  95" "   1" " 167" " 235" "0" "   5" "0" "0" " 323" "  24" " 716" " 955" "0" "   1" "0" "   1" "   1"
"GH010024" "0" "   2" "  25" " 535" "   9" "0" " 230" "1095" "0" "0" "   1" "0" "  77" " 126" " 115" " 667" "   4" "0" "0" "0" "0"
"GH010023" "0" " 542" "1424" " 480" "  67" "0" " 239" " 779" "0" "   1" "  20" "  36" " 505" "  19" "1159" " 343" "  12" "   5" "   2" "0" "0"
"GX012714" "0" "  19" "7071" " 895" " 111" " 100" " 912" " 924" "   1" "   2" "   7" "  22" "1150" " 205" " 220" " 616" "   1" "0" "   3" "   3" "0"
"GX012712" "0" "  14" "1030" "4751" " 284" "  45" " 630" "1394" "  16" "  12" "0" "  13" "2598" " 130" " 416" "3289" "   1" "   3" "   8" "  21" "  10"
"GX012710" "0" "0" "161" "626" " 23" " 15" "288" "876" "0" "0" "0" "0" "558" " 40" " 64" "352" "  2" "  1" "0" "  3" "0"
"GX012709" "0" "0" " 974" " 857" " 177" "  20" " 822" "1060" "0" "0" "   1" "   6" "  74" "  52" "  38" " 387" "  12" "   1" "   1" " 171" "   1"
"GX012707" "0" "0" "1120" " 642" "  38" " 167" " 668" " 799" "   1" "   2" "   4" "   4" "  22" "  13" "  57" " 233" "  12" "0" "   2" "   6" "0"
"GX012705" "0" "0" "114" "849" " 43" " 16" "421" "270" "0" "  3" "  1" "  1" " 25" " 68" " 62" "122" "  2" "0" "0" "  1" "0"
"GX010787" "0" "  41" "9481" "0" "   1" "0" "   2" "0" "   1" "0" " 112" "  42" "0" "   1" "   1" "0" "0" "0" "0" "0" "   1"
"GX010786" "0" " 729" "5103" "0" "0" "0" "   1" "0" "0" "0" "  13" "0" "0" "0" "   1" "0" "0" "   1" "0" "0" "0"
"GX010784" "0" " 217" "3592" "0" "  13" "0" "0" "   6" "   2" "0" "1207" "  16" "0" "   1" "   5" "0" "0" "0" "0" "0" "0"
"GX010778" "0" " 367" "9361" "  14" "  22" "0" "  14" "  21" "  52" "0" "  75" "   7" "0" "0" "  14" "   1" "   2" "   1" "  13" "0" "0"
