"file" "Coris_julis" "Mullus_surmuletus" "Apogon_imberbis" "Boops_boops" "Chromis_chromis" "Diplodus_sargus" "Other" "Sarpa_salpa" "Serranus_scriba" "Symphodus_tinca" "Oblada_melanura" "Seriola" "Serranus_cabrilla" "Spicara_smaris" "Anthias_anthias" "Diplodus_vulgaris" "Thalassoma_pavo" "Sparus_aurata" "Epinephelus_marginatus" "Sciaena_umbra"
"GH010398" "  25" "0" "0" "3190" "8222" "   2" "  40" "   2" "0" "   2" "  23" "  16" "0" "4802" "0" "   1" "   1" "0" "0" "0"
"GH010396" "  110" "0" "0" "  304" "12538" "    2" "    9" "    8" "0" "    2" "   24" "    2" "0" "   67" "0" "    2" "    1" "0" "0" "0"
"GH010032" "   15" "0" "    1" "  161" "11554" "0" "   11" "0" "0" "    2" "    9" "0" "0" "  114" "0" "0" "0" "0" "0" "0"
"GH010031" "  95" "0" "0" "1155" "8533" "0" " 134" "   5" "0" "   6" "   4" "0" "0" " 246" "0" "   1" "0" "0" "0" "0"
"GH010030" "   47" "0" "0" " 4885" "15754" "    3" "   94" "    1" "0" "    6" "    5" "    6" "0" "  549" "    1" "0" "0" "0" "0" "    1"
"GH010029" "697" "  3" "  1" "  4" " 88" "412" " 50" " 45" " 14" "314" "146" "0" "  1" "  3" "  1" "255" "0" "0" "0" "  1"
"GH010028" "1196" "  15" "  12" "  29" " 427" " 231" " 175" "  97" "  24" "1404" " 155" "0" "  12" "  12" "0" " 190" "  99" "0" "   3" "   1"
"GH010027" "1452" "   6" "  82" "   2" "  68" " 667" "  81" " 986" "0" "1098" " 417" "0" "   1" "   1" "   8" "  27" "  37" "0" "0" "0"
"GH010026" "1063" "   9" "0" "  65" "2645" " 120" " 137" " 287" "   7" " 960" "1171" "0" "   7" "   1" "0" " 362" "  31" "  25" "0" "   2"
"GH010025" " 433" "0" "   4" "  23" "8249" " 299" " 219" " 564" "   5" " 333" "1652" "0" "   7" "   1" "   1" "1203" "  36" "   1" "   1" "0"
"GH010024" "1423" "   8" "0" "   7" "  49" " 735" "  29" " 172" "   1" " 369" " 215" "0" "   1" "   1" "0" " 819" " 147" "0" "0" "0"
"GH010023" "1076" "  21" "   3" " 906" "2403" " 742" " 185" " 810" "   1" " 382" "1851" "   2" "   4" "  48" "  62" " 436" "  25" "   1" "  11" "   2"
"GX012714" "1277" "   3" "   7" "  51" "9627" "1180" " 224" "1467" " 110" "1301" " 418" "   5" "  11" "  20" "  54" " 733" " 266" "   1" "   1" "   7"
"GX012712" "1827" "  10" "  32" "  31" "1474" "5790" " 366" "3150" "  54" " 907" " 792" "  27" "  15" "0" "  26" "4006" " 179" "  34" "   8" "  17"
"GX012710" "1152" "   6" "   5" "   2" " 278" " 816" "  38" " 637" "  19" " 436" " 146" "0" "0" "   6" "   2" " 434" "  51" "0" "   2" "0"
"GX012709" "1363" "  15" " 208" "   1" "1200" "1047" " 236" " 130" "  25" "1041" "  97" "0" "   2" "   3" "  14" " 464" "  82" "   3" "   1" "   1"
"GX012707" "1161" "  22" "  13" "   2" "1319" " 766" "  73" "  45" " 185" " 913" "  99" "   1" "   3" "   5" "  13" " 273" "  36" "0" "   3" "   4"
"GX012705" "417" "  5" "  4" "  1" "177" "975" " 82" " 44" " 20" "563" "131" "0" "  8" "  2" "  1" "174" " 95" "0" "0" "  1"
"GX010787" "0" "    1" "0" "  148" "12875" "0" "    3" "    1" "0" "    7" "    2" "    5" "0" "  242" "   55" "    1" "    1" "    4" "0" "0"
"GX010786" "   1" "0" "0" " 904" "7092" "   1" "   3" "0" "   1" "   1" "   4" "0" "0" "  61" "   1" "0" "0" "0" "   2" "0"
"GX010784" "  16" "0" "0" " 457" "4500" "   5" "  35" "   1" "   1" "0" "  19" "  25" "0" "1702" "  21" "0" "   1" "0" "0" "0"
"GX010778" "   30" "    2" "0" "  627" "11522" "   21" "   47" "0" "0" "   16" "   30" "  104" "0" "  190" "   12" "    3" "    1" "0" "    1" "   20"
"GX010777" "  12" "0" "0" "  46" "3244" "   1" "   5" "0" "   2" "   2" "  14" "  27" "0" "  68" "0" "0" "0" "   1" "   1" "0"
"GX010756" "316" "  1" "0" "  1" "  2" "204" " 32" "198" "0" "177" " 48" "0" "0" "  1" "0" " 19" "  7" "0" "0" "0"
"GX010755" " 453" "   2" "  13" "  17" " 246" " 313" "  80" "1020" "   6" " 271" " 263" "   3" "0" "   9" " 190" "  63" "  27" "0" "   1" "0"
"GX010754" "559" "0" "0" " 32" "447" "284" " 38" " 22" "  1" "349" "162" "  1" " 13" "  2" " 47" " 22" " 50" "0" "  1" "  2"
"GH010022" "337" "  1" "  1" "0" " 24" "138" "  6" " 41" " 20" "149" "218" "0" "  4" "  1" "0" "123" " 10" "0" "  1" "0"
